poi_id,basic_category,eligibility
46208c99-9f6c-4933-a594-858179c1814f,park,site_based
5d181e52-949d-4557-ba62-93ba3bd8fba1,restaurant,building_based
4569639a-e5d2-4889-8efa-7c8cd150d786,recreational_trail_or_path,site_based
832d1018-8068-4f5a-8101-74a0a9d404eb,historic_site,uncertain
24c30972-55dc-4378-971c-2d01479c812b,,uncertain
b3f4fa92-0b29-4dc2-b07f-f6dc136c0e9c,music_venue,uncertain
01b77310-da2b-40a5-b03f-8133ff9ddf5d,financial_service,building_based
2283b73a-dbe4-4928-b522-0a6471ed12e1,,uncertain
30acb079-0ac3-4b97-b891-43b05a8dbdcb,shipping_or_delivery_service,uncertain
6ce2c722-1379-4a47-a84c-a71c617e28bf,technical_service,building_based
7e02e884-44af-4180-b171-88948ee387a1,fire_station,uncertain
d70e6682-c3c6-4e8a-8d94-3261cac51295,social_or_community_service,building_based
1df5e88a-c15d-4095-872c-191ee7af59a6,high_school,uncertain
206a29f0-20a7-44e6-a5cb-697ef6d9394e,condominium,uncertain
054a09af-8748-4e6d-9381-8b6d38dbf4ee,professional_service,building_based
2c8da241-b169-43f7-bf7f-613625b68c2d,college_university,building_based
409f3c6b-b995-457b-bfa8-340e2a096198,college_university,building_based
0ab37c66-b217-4652-b730-b10c45fb9c30,,uncertain
f4d8ecf2-9967-4446-9268-0233bf57e572,library,building_based
c1150123-89a6-441c-9b51-f252446acbce,parking,site_based
ae5b03ec-3054-45ee-af00-d1baca9fb46f,campus_building,uncertain
6fc8e511-6247-4f60-a574-52e1e7f31aa1,college_university,building_based
8c974d2f-c1c1-49e2-8a19-925ff93b0c65,social_or_community_service,building_based
d2c1d080-b7ba-46bb-bf2c-18a6a030a52e,design_service,building_based
bb747b2a-4efd-4a61-b194-e025e8bf2f2d,historic_site,uncertain
7c05bdb8-b682-48b1-9421-a1725f9bcfe4,park,site_based
a4a8356e-723c-4fda-9807-ca78ea4c3bd6,home_service,building_based
399a3219-1fdb-4dd9-b4e5-3cc1beb2d8d9,,uncertain
acd2f9af-c21f-4610-8493-0f98d3f95e61,,uncertain
7e04cc5d-503f-4138-b2e3-2c0ecc346cf2,specialty_school,uncertain
86f5f540-68a0-48d5-9162-d9faa999394a,social_or_community_service,building_based
666b017e-2b11-4fbc-94d4-038e30f5e80d,arcade,uncertain
fa0095cb-ac94-400d-b2b1-ea98f7cd45ee,christian_place_of_worship,uncertain
94071a2f-a3d0-4cc4-9ba3-80854fbf7dd1,design_service,building_based
cd521102-d168-4372-868d-55123f4a35a0,historic_site,uncertain
4263ef90-531c-4743-9fe5-d53883e74c5e,hotel,building_based
b474e0bb-dca4-43c3-9f91-fbaef015b0d2,financial_service,building_based
5c48c9c1-ce18-404e-8f03-dbb8b78ba56f,college_university,building_based
efb511db-09b2-4a0a-843d-25d1677ce23e,restaurant,building_based
9a926b9a-3606-49a3-a5a0-5ca067e252b3,printing_service,uncertain
6792bdb4-a0d6-40b8-a622-ea929e79eb1b,planetarium,uncertain
cc785563-1ac9-4612-8a79-cbfff7dccbbb,lodging,uncertain
a90dc13c-a4e3-4c5f-b6db-290578f7f6e2,design_service,building_based
546f705a-5595-41e5-bcd2-d1921c2b30a3,,uncertain
80934795-56e3-48e0-bb56-d8a461051cd9,lodging,uncertain
227df2ce-e74d-4ca0-b70c-26c6b6c1044f,lodging,uncertain
9547a2da-c7c8-40a3-9625-0b393dad9fd4,lake,uncertain
cb5add32-e070-4811-8ef3-e9e4f392fb17,religious_organization,uncertain
10e0161c-506d-4cff-8c62-a513673d43f0,environmental_or_ecological_service,uncertain
d4615637-aaca-45db-b538-0c8ff3b32687,movie_theater,building_based
22c70b8a-60ea-41f1-8f33-fc07d834c190,public_transit_facility_or_service,uncertain
876b5399-899b-469c-be38-37f3e758f503,park,site_based
f1f6d690-d36a-4460-8cb3-06ca6b7e816c,hardware_home_and_garden_store,building_based
1b197c26-07e6-4a88-a4f4-5f2e02c0672f,complementary_and_alternative_medicine,building_based
2c94f07a-192a-4938-9d99-633210dc1ba0,specialty_store,uncertain
961edfb0-f488-4383-b20f-e58b459e6bb2,gym,building_based
35e126ed-6672-4815-a718-e9fba870f7e1,,uncertain
4daecd8c-4da5-41b7-b981-43d3f134b159,,uncertain
2cfe476e-5f62-4f5a-968f-03ad032e8812,complementary_and_alternative_medicine,building_based
ff9d6d8e-cc48-4299-8f32-5ac18050b738,,uncertain
f6e30580-b6f3-4c52-8e8f-6588a486ee33,,uncertain
55cf5ab3-d608-4f50-948d-9513c02d25e5,outpatient_care_facility,building_based
f3d8abca-7412-4fa9-96ea-2e9582291bf9,specialized_medical_facility,uncertain
c1130c71-eda6-4389-a80e-3c8725bbd7a0,financial_service,building_based
d02898b5-adde-421a-9d63-411936e2db63,bank_or_credit_union,building_based
c209c0d5-b0ca-4aff-b6d0-0627d29343f9,books_music_and_video_store,uncertain
8d1bc41b-dd28-4a50-9e57-3e916a8fb9b2,atm,uncertain
ae1020a4-0845-41b4-a764-61e3013c891c,atm,uncertain
24b5ee2a-77d7-4607-a4d9-943fcbd644b1,home_service,building_based
c1c998d8-30b5-41c5-a4e4-45a777aa0a70,convenience_store,building_based
bbdf3a02-7a6a-4c52-898b-4f4fd0e6ea81,religious_organization,uncertain
c5c77264-d3f7-47d9-a126-39b494f80734,flowers_and_gifts_store,building_based
ff07a5ce-6f8b-447a-8033-6126efa70cb8,professional_service,building_based
89c0e23c-912c-4983-9f09-a9699b513712,lake,uncertain
6257a108-3ee8-4263-a60b-fb09e46571b9,financial_service,building_based
61f71241-ce25-4736-8821-5d8116435cb3,sport_or_fitness_facility,uncertain
faaa68c7-e2a2-46ae-8bc3-c036c64bf0db,travel_service,uncertain
db7d426d-0ecd-4d26-ab0e-6d44f9bb2744,convenience_store,building_based
