poi_id,distance_to_building,match_type,confidence,names_left,basic_category,building_id_right
d026341c-4964-4c1b-a262-92f455337768,168.9189580414571,nearest,low,"{'common': None, 'primary': 'Red Rock Spur', 'rules': None}",park,9cae19ff-d13a-40d8-8b29-70587dc51e4b
fb8dbbce-6ab8-4476-95cb-beb2394e9921,161.06852164704887,nearest,low,"{'common': None, 'primary': 'Emilia Ceramics', 'rules': None}",hardware_home_and_garden_store,49ce77c4-faea-45c1-a14e-117025aef79f
2fcf0a61-0251-482e-ac95-6d2435dba696,127.90346497394634,nearest,low,"{'common': None, 'primary': 'Red Rocks Trail Boulder', 'rules': None}",recreational_trail_or_path,9cae19ff-d13a-40d8-8b29-70587dc51e4b
35df4e7c-f8bc-497c-a12c-8b13c7591063,124.75950295015534,nearest,low,"{'common': None, 'primary': 'Boulder Star', 'rules': None}",bar,765dfb50-b49f-4b71-8f4d-193a6cacf056
4569639a-e5d2-4889-8efa-7c8cd150d786,112.03304695444218,nearest,low,"{'common': None, 'primary': 'Crown Rock Trailhead', 'rules': None}",recreational_trail_or_path,0ed7782e-54c6-47ad-a9b2-ca3a622e7fc5
30acb079-0ac3-4b97-b891-43b05a8dbdcb,87.70623897834862,nearest,low,"{'common': None, 'primary': 'FedEx Office Print & Ship Center', 'rules': None}",shipping_or_delivery_service,6d84c3f3-f3a6-4127-ae20-80b7095b1e8b
6ce2c722-1379-4a47-a84c-a71c617e28bf,87.70623897834862,nearest,low,"{'common': None, 'primary': 'SALVAGEDATA Recovery Services', 'rules': None}",technical_service,6d84c3f3-f3a6-4127-ae20-80b7095b1e8b
24c30972-55dc-4378-971c-2d01479c812b,83.94938164671551,nearest,low,"{'common': None, 'primary': 'Republic Cycles', 'rules': None}",,fda2ae59-14ca-46d5-9ba5-46c30983a59b
0a268d22-b702-4434-b0ad-cf2894eb7dc2,83.3510666895089,nearest,low,"{'common': None, 'primary': 'Columbia Cemetery', 'rules': None}",,c32ae4b2-064a-44e9-b3e9-7950f39f65b7
13d4dc50-f16c-4337-b794-9364743f36bc,81.03503916544683,nearest,low,"{'common': None, 'primary': ""Settler's Park"", 'rules': None}",park,cfbd9550-b55a-49a4-94dc-56601ce3c50a
8c6f77c8-3cfc-4142-8bcc-e31bca68ab64,77.16836563779546,nearest,low,"{'common': None, 'primary': 'Boulder Art Fair', 'rules': None}",,b4674090-59dc-41f5-b2a9-4dab77f1fd58
2283b73a-dbe4-4928-b522-0a6471ed12e1,74.85028899266264,nearest,low,"{'common': None, 'primary': 'Bitcoin Depot - Bitcoin ATM', 'rules': None}",,fda2ae59-14ca-46d5-9ba5-46c30983a59b
44ff6eeb-0318-4e23-b4ee-c5602c668f35,67.84285671148704,nearest,low,"{'common': None, 'primary': 'Boulder International Peace Garden', 'rules': None}",park,332d6626-1264-45f2-801c-eea9ca0845de
09a38959-61e7-44b7-8a45-65faeeb59420,66.41495424156997,nearest,low,"{'common': None, 'primary': ""Evert Pierson Kids' Fishing Pond"", 'rules': None}",,10d4f9c2-b122-4ac5-b939-fe698e2249a7
e07b0594-4dd2-4525-aff8-b32f0b9d9293,59.74117503191813,nearest,low,"{'common': None, 'primary': 'Eben G. Fine Park', 'rules': None}",park,00780f93-3d8d-4c5d-95c0-8e9d031363cf
